Date,Day,Breakfast (kg),Lunch (kg),Dinner (kg),Total Wastage (kg)
Date(2021,5,30),Wednesday,5.05,7.16,7.86,20.07
Date(2021,6,1),Thursday,3.86,6.48,9.18,19.52
Date(2021,6,2),Friday,1.26,7.78,6.59,15.63
Date(2021,6,3),Saturday,6.17,5.48,13,24.65
Date(2021,6,4),Sunday,3.95,8.25,8.77,20.97
Date(2021,6,5),Monday,4.38,7.25,6.38,18.009999999999998
Date(2021,6,6),Tuesday,3.33,6.92,10.2,20.45
Date(2021,6,7),Wednesday,2.68,5.7,4.9,13.280000000000001
Date(2021,6,8),Thursday,4.82,4.8,10.99,20.61
Date(2021,6,9),Friday,4.96,4.45,7.18,16.59
Date(2021,6,10),Saturday,10.21,6.2,10.5,26.91
Date(2021,6,11),Sunday,5.26,9.34,5.32,19.92
Date(2021,6,12),Monday,1,5.57,7.33,13.9
Date(2021,6,13),Tuesday,5.94,3.27,5.7,14.91
Date(2021,6,14),Wednesday,3.35,5.04,5.56,13.95
Date(2021,6,15),Thursday,3.35,6.3,5.19,14.84
Date(2021,6,16),Friday,5.66,8.52,3.33,17.509999999999998
Date(2021,6,17),Saturday,4.79,5.49,8.79,19.07
Date(2021,6,18),Sunday,1.97,7.21,5.04,14.219999999999999
Date(2021,6,19),Monday,2.29,3.11,4.03,9.43
Date(2021,6,20),Tuesday,3.75,2.93,3.73,10.41
Date(2021,6,21),Wednesday,2.39,2.72,2.25,7.36
Date(2021,6,22),Thursday,3.53,3.51,3.65,10.69
Date(2021,6,23),Friday,2.6,2.66,3.64,8.9
Date(2021,6,24),Saturday,2.47,2.18,2.19,6.84
Date(2021,6,25),Sunday,3.51,3.42,1.82,8.75
Date(2021,6,26),Monday,3.5,3.72,2.7,9.920000000000002
Date(2021,6,27),Tuesday,1.95,3.24,2.06,7.25
Date(2021,6,28),Wednesday,1.63,3.34,2.52,7.49
Date(2021,6,29),Thursday,2.08,2.77,3.04,7.89
Date(2021,6,30),Friday,0,1.58,2.14,3.72
Date(2021,6,31),Saturday,2.95,1.36,1.66,5.970000000000001
Date(2021,7,1),Sunday,1.28,2.3,1.45,5.03
Date(2021,7,2),Monday,1.76,1.51,1.55,4.82
Date(2021,7,3),Tuesday,1,1.21,1.42,3.63
Date(2021,7,4),Wednesday,2.52,1.47,1.41,5.4
Date(2021,7,5),Thursday,1.3,1.35,1.7,4.3500000000000005
Date(2021,7,6),Friday,1.44,1.7,3.72,6.859999999999999
Date(2021,7,7),Saturday,1.92,1.45,1.95,5.32
Date(2021,7,8),Sunday,1.85,3.48,1.34,6.67
Date(2021,7,9),Monday,1.32,3.02,1.81,6.15
Date(2021,7,10),Tuesday,1,2.39,1.54,4.93
Date(2021,7,11),Wednesday,1.05,2.51,1.35,4.91
Date(2021,7,12),Thursday,0,2.42,1.98,4.4
Date(2021,7,13),Friday,0,2.17,3.12,5.29
Date(2021,7,14),Saturday,0,1.94,1.7,3.6399999999999997
Date(2021,7,15),Sunday,1.49,4.47,2.56,8.52
Date(2021,7,16),Monday,2.64,4.45,3.2,10.29
Date(2021,7,17),Tuesday,2.74,5.59,4.28,12.61
Date(2021,7,18),Wednesday,1.59,6.03,3.84,11.46
Date(2021,7,19),Thursday,2.96,7.28,5.9,16.14
Date(2021,7,20),Friday,1,3.88,5.34,10.219999999999999
Date(2021,7,21),Saturday,3.2,6.94,6.57,16.71
Date(2021,7,22),Sunday,1,5.4,8.7,15.1
Date(2021,7,23),Monday,3.32,7.86,7.58,18.759999999999998
Date(2021,7,24),Tuesday,4.31,8.67,5.85,18.83
Date(2021,7,25),Wednesday,7.25,8.53,8.51,24.29
Date(2021,7,26),Thursday,6.67,14.28,10.67,31.619999999999997
Date(2021,7,27),Friday,4.05,13.19,13.89,31.13
Date(2021,7,28),Saturday,6.29,20.33,17.27,43.89
Date(2021,7,29),Sunday,6.85,13.37,12.99,33.21
Date(2021,7,30),Monday,5.96,15,15.83,36.79
Date(2021,7,31),Tuesday,6.14,12.09,15.15,33.38
Date(2021,8,1),Wednesday,6.98,14.77,18.98,40.730000000000004
Date(2021,8,2),Thursday,6.6,14.56,16.37,37.53
Date(2021,8,3),Friday,7.39,16.81,12.63,36.83
Date(2021,8,4),Saturday,5.94,18.94,22.25,47.13
Date(2021,8,5),Sunday,5.06,17.56,13.78,36.4
Date(2021,8,6),Monday,6.72,18.97,23.33,49.019999999999996
Date(2021,8,7),Tuesday,6.12,19.84,16.5,42.46
Date(2021,8,8),Wednesday,7.38,20.82,19.07,47.269999999999996
Date(2021,8,9),Thursday,6.73,20.49,14.74,41.96
Date(2021,8,10),Friday,6.4,20.27,14.54,41.21
Date(2021,8,11),Saturday,8.33,21.7,26.01,56.040000000000006
Date(2021,8,12),Sunday,9.91,27.54,24.77,62.22
Date(2021,8,13),Monday,6.81,23.11,21.52,51.44
Date(2021,8,14),Tuesday,8.63,23.47,29.62,61.72
Date(2021,8,15),Wednesday,13.23,27.58,24.58,65.39
Date(2021,8,16),Thursday,12.82,29.63,17.24,59.69
Date(2021,8,17),Friday,9.12,29.54,19.72,58.379999999999995
Date(2021,8,18),Saturday,6.58,29.96,26.85,63.39
Date(2021,8,19),Sunday,9.6,26.37,28.66,64.63
Date(2021,8,20),Monday,5.65,18.4,21.26,45.31
Date(2021,8,21),Tuesday,9.83,22.27,27.1,59.2
Date(2021,8,22),Wednesday,8.2,36.21,33.58,77.99
Date(2021,8,23),Thursday,10.76,28.22,19.62,58.599999999999994
Date(2021,8,24),Friday,7.86,34.15,17.2,59.209999999999994
Date(2021,8,25),Saturday,10.76,30.68,23.07,64.50999999999999
Date(2021,8,26),Sunday,9.76,31.07,19.45,60.28
Date(2021,8,27),Monday,10.13,26.32,26.48,62.93000000000001
Date(2021,8,28),Tuesday,10.8,33.67,23.4,67.87
Date(2021,8,29),Wednesday,8.17,28.49,25.94,62.599999999999994
Date(2021,8,30),Thursday,10.68,26.09,22.16,58.92999999999999
Date(2021,9,1),Friday,9.06,30.57,21.48,61.11
Date(2021,9,2),Saturday,11.6,32.36,25.22,69.18
Date(2021,9,3),Sunday,15.21,28.98,23.79,67.97999999999999
Date(2021,9,4),Monday,12.95,27.31,27.01,67.27
Date(2021,9,5),Tuesday,14.09,32.96,25.98,73.03
Date(2021,9,6),Wednesday,9,36.18,23.57,68.75
Date(2021,9,7),Thursday,10.48,29.9,18.96,59.339999999999996
Date(2021,9,8),Friday,7.6,32.1,21.24,60.94
Date(2021,9,9),Saturday,10.41,25.22,17.56,53.19
Date(2021,9,10),Sunday,11.16,28.17,25.16,64.49
Date(2021,9,11),Monday,10.04,34.41,26.91,71.36
Date(2021,9,12),Tuesday,12.32,28.42,23.49,64.23
Date(2021,9,13),Wednesday,11.63,23.1,27.07,61.800000000000004
Date(2021,9,14),Thursday,13.84,29.05,24.17,67.06
Date(2021,9,15),Friday,7.3,26.33,17.41,51.03999999999999
Date(2021,9,16),Saturday,15.16,29.48,22.54,67.18
Date(2021,9,17),Sunday,9.6,27.82,21.24,58.66
Date(2021,9,18),Monday,10.58,26.02,16.64,53.24
Date(2021,9,19),Tuesday,7.39,20.69,16.37,44.45
Date(2021,9,20),Wednesday,7.56,21.07,17.27,45.9
Date(2021,9,21),Thursday,5.59,18.42,17.64,41.650000000000006
Date(2021,9,22),Friday,5.68,17.36,18.65,41.69
Date(2021,9,23),Saturday,8.01,24.16,29.49,61.66
Date(2021,9,24),Sunday,7.94,30.23,23.67,61.84
Date(2021,9,25),Monday,9.82,28.48,27.62,65.92
Date(2021,9,26),Tuesday,11.73,25.44,25.51,62.68000000000001
Date(2021,9,27),Wednesday,9.21,23.83,25.43,58.47
Date(2021,9,28),Thursday,7.66,18.47,19.56,45.69
Date(2021,9,29),Friday,7.04,33.52,0,40.56
Date(2021,9,30),Saturday,6.6,31.07,23.3,60.97
Date(2021,9,31),Sunday,8.8,32.97,32.47,74.24
Date(2021,10,1),Monday,10.25,25.25,25.09,60.59
Date(2021,10,2),Tuesday,9.14,30.3,21.39,60.83
Date(2021,10,3),Wednesday,8.93,29.8,22.72,61.45
Date(2021,10,4),Thursday,9.95,18.53,20.54,49.019999999999996
Date(2021,10,5),Friday,4.69,29.25,22.07,56.01
Date(2021,10,6),Saturday,7.75,26.55,21.75,56.05
Date(2021,10,7),Sunday,9.61,29.46,24.77,63.84
Date(2021,10,8),Monday,12.11,33.3,26.92,72.33
Date(2021,10,9),Tuesday,10.35,23.63,22.26,56.239999999999995
Date(2021,10,10),Wednesday,15.25,28.61,25.84,69.7
Date(2021,10,11),Thursday,7.82,32.42,25.33,65.57
Date(2021,10,12),Friday,8.98,29.18,23.13,61.28999999999999
Date(2021,10,13),Saturday,6.96,29.28,18.94,55.18000000000001
Date(2021,10,14),Sunday,7.8,20.2,27.72,55.72
Date(2021,10,15),Monday,13.72,29.12,25.61,68.45
Date(2021,10,16),Tuesday,9.4,31.24,20.57,61.21
Date(2021,10,17),Wednesday,8.61,31.43,28.3,68.34
Date(2021,10,18),Thursday,10.2,28.91,22.72,61.83
Date(2021,10,19),Friday,7.3,27.85,21.2,56.349999999999994
Date(2021,10,20),Saturday,10.08,23.09,22.06,55.230000000000004
Date(2021,10,21),Sunday,7.22,27.72,16.21,51.15
Date(2021,10,22),Monday,8.61,26.03,25.64,60.28
Date(2021,10,23),Tuesday,9.66,24.95,18.57,53.18
Date(2021,10,24),Wednesday,10.64,21.65,24.44,56.730000000000004
Date(2021,10,25),Thursday,8.41,43.48,16.62,68.51
Date(2021,10,26),Friday,10.02,27.93,19.74,57.69
Date(2021,10,27),Saturday,14.77,29.85,26.28,70.9
Date(2021,10,28),Sunday,7.19,24.27,25.93,57.39
Date(2021,10,29),Monday,9.5,28.77,26.18,64.44999999999999
Date(2021,10,30),Tuesday,10.2,28.91,22.72,61.83
Date(2021,11,1),Wednesday,5.88,28.58,33.07,67.53
Date(2021,11,2),Thursday,7.83,20.67,14.96,43.46
Date(2021,11,3),Friday,8.9,31.38,20.94,61.22
Date(2021,11,4),Saturday,6.98,25.89,24.05,56.92
Date(2021,11,5),Sunday,8.1,26.02,20.94,55.06
Date(2021,11,6),Monday,8.35,28.99,25.29,62.629999999999995
Date(2021,11,7),Tuesday,7.22,29.82,31.34,68.38
Date(2021,11,8),Wednesday,9.44,21.4,21.67,52.51
Date(2021,11,9),Thursday,8.25,28.53,22.94,59.72
Date(2021,11,10),Friday,5.34,27.71,22.52,55.56999999999999
Date(2021,11,11),Saturday,6.76,23.58,21.99,52.33
Date(2021,11,12),Sunday,5.6,28.25,17.03,50.88
Date(2021,11,13),Monday,10.09,41.83,23.87,75.79
Date(2021,11,14),Tuesday,14.59,36.3,24.33,75.22
Date(2021,11,15),Wednesday,5.14,31.23,26.91,63.28
Date(2021,11,16),Thursday,8.17,23.7,17.78,49.65
Date(2021,11,17),Friday,7.12,23.64,9.89,40.650000000000006
Date(2021,11,18),Saturday,6.71,20.21,15.9,42.82
Date(2021,11,19),Sunday,8.4,18.56,16.72,43.68
Date(2021,11,20),Monday,5.73,18.88,16.12,40.730000000000004
Date(2021,11,21),Tuesday,7.7,15.07,18.05,40.82
Date(2021,11,22),Wednesday,3.73,15.9,11.36,30.99
Date(2021,11,23),Thursday,5,10.15,10.88,26.03
Date(2021,11,24),Friday,3.34,11.38,1,15.72
Date(2021,11,25),Saturday,10.23,7,7.93,25.16
Date(2021,11,26),Sunday,0,0,3.59,3.59
Date(2021,11,27),Monday,5.09,10.43,6.08,21.6
Date(2021,11,28),Tuesday,3.47,9.5,6.08,19.05
Date(2021,11,29),Wednesday,6.05,9.75,5.14,20.94
Date(2021,11,30),Thursday,2.05,8.34,6,16.39
Date(2021,11,31),Friday,3.38,4.47,6.6,14.45
Date(2022,0,1),Saturday,4.48,2.17,5.5,12.15
Date(2022,0,2),Sunday,1.88,7.49,5.61,14.98
Date(2022,0,3),Monday,4.92,9.22,7.98,22.12
Date(2022,0,4),Tuesday,3.53,10.88,11.81,26.22
Date(2022,0,5),Wednesday,3.25,2.93,7.47,13.649999999999999
Date(2022,0,6),Thursday,2.85,11.1,10.17,24.119999999999997
Date(2022,0,7),Friday,3.44,5.1,7.68,16.22
Date(2022,0,8),Saturday,5.82,8.51,11.45,25.78
Date(2022,0,9),Sunday,1.42,14.35,9.06,24.83
Date(2022,0,10),Monday,3.25,11.05,10.06,24.36
Date(2022,0,11),Tuesday,3.35,8.98,12.76,25.09
Date(2022,0,12),Wednesday,4.2,17.9,13.06,35.16
Date(2022,0,13),Thursday,4.22,15.76,10.35,30.33
Date(2022,0,14),Friday,4.47,23.74,15.46,43.67
Date(2022,0,15),Saturday,0,11.26,10.75,22.009999999999998
