Date,Day,Breakfast (kg),Lunch (kg),Dinner (kg),Total Wastage (kg)
2023-08-12,Saturday,,,,
2023-08-13,Sunday,,,,
2023-08-14,Monday,,,,
2023-08-15,Tuesday,,,,
2023-08-16,Wednesday,,,,
2023-08-17,Thursday,6.4,8.75,4.35,19.5
2023-08-18,Friday,3.05,7.48,13.4,23.93
2023-08-19,Saturday,3.06,5.65,25.4,34.11
2023-08-20,Sunday,19.35,19.4,37.45,76.2
2023-08-21,Monday,10.35,26,19.31,55.66
2023-08-22,Tuesday,12.15,25.03,23,60.18
2023-08-23,Wednesday,11.5,26.28,23.08,60.86
2023-08-24,Thursday,10.2,30.45,19.54,60.19
2023-08-25,Friday,8.1,25.7,20.76,54.56
2023-08-26,Saturday,9.8,18.4,31.35,59.55
2023-08-27,Sunday,11.25,27.4,14.95,53.6
2023-08-28,Monday,16.05,41,41.72,98.77
2023-08-29,Tuesday,41.88,46.76,39.6,128.24
2023-08-30,Wednesday,27.75,44.75,40.14,112.64
2023-08-31,Thursday,26.2,39.98,43.21,109.39
2023-09-01,Friday,16,39.8,39.84,95.64
2023-09-02,Saturday,13.95,47.49,43.26,104.7
2023-09-03,Sunday,12.45,55.65,53.2,121.3
2023-09-04,Monday,27.45,47.85,48.6,123.9
2023-09-05,Tuesday,19.46,43.95,49.8,113.21
2023-09-06,Wednesday,17.37,30.23,33.9,81.5
2023-09-07,Thursday,19.25,51.7,42.1,113.05
2023-09-08,Friday,26.92,39.5,41.7,108.12
2023-09-09,Saturday,11.05,45.75,49.25,106.05
2023-09-10,Sunday,13.45,57.8,59.8,131.05
2023-09-11,Monday,12.15,38.9,44.3,95.35
2023-09-12,Tuesday,22.05,45.3,33.6,100.95
2023-09-13,Wednesday,24,65.3,36.2,125.5
2023-09-14,Thursday,16.95,55.85,45.9,118.7
2023-09-15,Friday,28.78,52.38,36.55,117.71
2023-09-16,Saturday,8.7,54.5,64.55,127.75
2023-09-17,Sunday,8.8,38.25,70.55,117.6
2023-09-18,Monday,23.05,40.2,33.55,96.8
2023-09-19,Tuesday,22.1,48.9,35.02,106.02
2023-09-20,Wednesday,14.45,45.2,42.1,101.75
2023-09-21,Thursday,9.13,28.65,48.8,86.58
2023-09-22,Friday,20.55,33.05,39.3,92.9
2023-09-23,Saturday,7.8,41.95,32.9,82.65
2023-09-24,Sunday,13.05,44.5,47.3,104.85
2023-09-25,Monday,21.9,34.4,35.75,92.05
2023-09-26,Tuesday,16.05,41.95,41.05,99.05
2023-09-27,Wednesday,10,48.08,39,97.08
2023-09-28,Thursday,16.45,45.7,42.8,104.95
2023-09-29,Friday,14.85,51.6,34,100.45
2023-09-30,Saturday,10.3,25.85,30.8,66.95
2023-10-01,Sunday,11.15,30,53.5,94.65
2023-10-02,Monday,16.66,59.45,42.12,118.23
2023-10-03,Tuesday,18.65,31.14,52.8,102.59
2023-10-04,Wednesday,13.89,52.41,63.15,129.45
2023-10-05,Thursday,14.5,53.6,45.89,113.99
2023-10-06,Friday,18.9,24.15,54.15,97.2
2023-10-07,Saturday,16.3,36.25,54.4,106.95
2023-10-08,Sunday,10.35,54.45,37.34,102.14
2023-10-09,Monday,10.3,35.4,47.49,93.19
2023-10-10,Tuesday,17.65,55.25,52.01,124.91
2023-10-11,Wednesday,24.55,55.55,43.94,124.04
2023-10-12,Thursday,16.55,58.92,56.83,132.3
2023-10-13,Friday,13.35,63.6,51.3,128.25
2023-10-14,Saturday,10.5,46.4,62.25,119.15
2023-10-15,Sunday,8,33.33,51,92.33
2023-10-16,Monday,26,44,44.9,114.9
2023-10-17,Tuesday,19.7,55.71,50.5,125.91
2023-10-18,Wednesday,16.5,51.07,47.45,115.02
2023-10-19,Thursday,11,44.25,45.7,100.95
2023-10-20,Friday,12.75,52,37.4,102.15
2023-10-21,Saturday,9.86,31.85,45.4,87.11
2023-10-22,Sunday,3.4,27.8,30.35,61.55
2023-10-23,Monday,6.6,33.65,19.95,60.2
2023-10-24,Tuesday,10.75,58.28,44.6,113.63
2023-10-25,Wednesday,8.65,49,40.6,98.25
2023-10-26,Thursday,8.9,17.8,53.62,80.32
2023-10-27,Friday,13.1,22.5,65.15,100.75
2023-10-28,Saturday,25.5,60.3,59.65,145.45
2023-10-29,Sunday,14.1,62,59.33,135.43
2023-10-30,Monday,16.05,62.39,47.19,125.63
2023-10-31,Tuesday,10.18,40.39,48.36,98.93
2023-11-01,Wednesday,14.1,50.55,47.25,111.9
2023-11-02,Thursday,13.8,43.3,49.24,106.34
2023-11-03,Friday,11.25,54.6,46.4,112.25
2023-11-04,Saturday,20.5,19.85,22.85,63.2
2023-11-05,Sunday,15.1,64.65,49.2,128.95
2023-11-06,Monday,18.49,58.57,51.45,128.51
2023-11-07,Tuesday,21.1,52.2,53.87,127.17
2023-11-08,Wednesday,16.48,49.9,47.15,113.53
2023-11-09,Thursday,11.55,56.85,49.15,117.55
2023-11-10,Friday,17.9,57.73,39.2,114.83
2023-11-11,Saturday,13,55.45,47,115.45
2023-11-12,Sunday,15.5,51.9,75.75,143.15
2023-11-13,Monday,17.85,50.48,56.4,124.73
2023-11-14,Tuesday,25.65,56.3,59.05,141
2023-11-15,Wednesday,18.05,40.6,48.1,106.75
2023-11-16,Thursday,17.2,49.85,47.8,114.85
2023-11-17,Friday,16.1,54.65,68.5,139.25
2023-11-18,Saturday,21.6,60.7,56.8,139.1
2023-11-19,Sunday,7.2,53.2,59.05,119.45
2023-11-20,Monday,20.75,58.75,60.1,139.6
2023-11-21,Tuesday,16.15,66.5,55.35,138
2023-11-22,Wednesday,17.8,61.1,62.4,141.3
2023-11-23,Thursday,24.45,64.2,51.8,140.45
2023-11-24,Friday,11.3,49.18,37.6,98.08
2023-11-25,Saturday,9.88,56.25,46.8,112.93
2023-11-26,Sunday,9.4,50.55,53.55,113.5
2023-11-27,Monday,12.5,64.8,53.75,131.05
2023-11-28,Tuesday,21.8,13.25,43.06,78.11
2023-11-29,Wednesday,9.5,32.18,40.85,82.53
2023-11-30,Thursday,39.1,18.2,31.25,88.55
2023-12-01,Friday,7.86,60.35,33.58,101.79
2023-12-02,Saturday,16.35,48.95,37.7,103
2023-12-03,Sunday,7.76,42.2,55.14,105.1
2023-12-04,Monday,7.55,46.1,43,96.65
2023-12-05,Tuesday,10.2,55.53,43.95,109.68
2023-12-06,Wednesday,18.02,56.26,49.21,123.49
2023-12-07,Thursday,8.11,48.84,41.84,98.79
2023-12-08,Friday,11.27,46.27,39.58,97.12
2023-12-09,Saturday,13.69,63.89,58.16,135.74
2023-12-10,Sunday,14.42,69.04,60.28,143.74
2023-12-11,Monday,10.05,55.77,51.55,117.37
2023-12-12,Tuesday,13.29,59.34,55.01,127.64
2023-12-13,Wednesday,14.59,53.92,49.9,118.41
2023-12-14,Thursday,8.85,52.11,56.64,117.6
2023-12-15,Friday,9.3,58.36,41.86,109.52
2023-12-16,Saturday,11.25,35.8,55.84,102.89
2023-12-17,Sunday,18.73,54.87,51.99,125.59
2023-12-18,Monday,15.31,45.62,50.07,111
2023-12-19,Tuesday,19.09,49.33,52.17,120.59
2023-12-20,Wednesday,13.92,41.87,33.37,89.16
2023-12-21,Thursday,11.72,46.74,43.91,102.37
2023-12-22,Friday,13.45,19.15,16.51,49.11
2023-12-23,Saturday,6.32,6.23,0,12.55
2023-12-24,Sunday,0,2.7,0,2.7
2023-12-25,Monday,0,4.38,0,4.38
2023-12-26,Tuesday,0,10.89,0,10.89
2023-12-27,Wednesday,0,6.6,0,6.6
2023-12-28,Thursday,0,5.7,0,5.7
2023-12-29,Friday,1.03,4.8,0,5.83
2023-12-30,Saturday,0,0,5.38,5.38
2023-12-31,Sunday,0,1.18,1.1,2.28
2024-01-01,Monday,0,6.48,10.1,16.58
2024-01-02,Tuesday,0,7.63,4.68,12.31
2024-01-03,Wednesday,1.22,21.2,23,45.42
2024-01-04,Thursday,11.3,43.04,24.8,79.14
2024-01-05,Friday,9.39,47.55,37.03,93.97
2024-01-06,Saturday,8.35,35.45,26.15,69.95
2024-01-07,Sunday,6.85,24.25,40.08,71.18
2024-01-08,Monday,9.23,47.35,26.75,83.33
2024-01-09,Tuesday,7.45,33.35,25.1,65.9
2024-01-10,Wednesday,7.6,38.65,26.65,72.9
2024-01-11,Thursday,10.7,34.7,24.85,70.25
2024-01-12,Friday,4.8,23.72,17.2,45.72
2024-01-13,Saturday,8.2,30.05,22.15,60.4
2024-01-14,Sunday,3.65,21.77,22.7,48.12
2024-01-15,Monday,4.1,72.95,26.25,103.3
2024-01-16,Tuesday,5.7,35.1,24.6,65.4
2024-01-17,Wednesday,4.85,38.02,28.9,71.77
2024-01-18,Thursday,8.15,37.25,30.15,75.55
2024-01-19,Friday,19.93,40.45,26.95,87.33
2024-01-20,Saturday,10.6,35.6,30.85,77.05
2024-01-21,Sunday,12.85,12.18,66.66,91.69
2024-01-22,Monday,23.85,49.61,42.8,116.26
2024-01-23,Tuesday,26.5,58.1,49.55,134.15
2024-01-24,Wednesday,27.45,45.75,38.45,111.65
2024-01-25,Thursday,18.85,53.01,35.85,107.71
2024-01-26,Friday,17.75,57.85,46.05,121.65
2024-01-27,Saturday,15.23,43.6,39.05,97.88
2024-01-28,Sunday,8.85,51.65,64.85,125.35
2024-01-29,Monday,20.55,46.8,39.45,106.8
2024-01-30,Tuesday,15.8,51.85,56.25,123.9
2024-01-31,Wednesday,17.1,55.05,50.4,122.55
2024-02-01,Thursday,14.85,43.05,46.85,104.75
2024-02-02,Friday,14.3,46.4,40.05,100.75
2024-02-03,Saturday,8.25,45.5,40.1,93.85
2024-02-04,Sunday,9.3,36.45,60,105.75
2024-02-05,Monday,18.1,42,46.1,106.2
2024-02-06,Tuesday,17.7,44.9,40.05,102.65
2024-02-07,Wednesday,20.65,46.9,48.05,115.6
2024-02-08,Thursday,17.5,47.85,44.95,110.3
2024-02-09,Friday,14.95,47.1,34.45,96.5
2024-02-10,Saturday,10.8,49.6,48,108.4
2024-02-11,Sunday,7.95,51.55,56.6,116.1
2024-02-12,Monday,6.25,44.6,59.75,110.6
2024-02-13,Tuesday,14.3,44.08,44.95,103.33
2024-02-14,Wednesday,16,49.7,49.75,115.45
2024-02-15,Thursday,18.6,52.4,36.35,107.35
2024-02-16,Friday,12.35,36.85,32.05,81.25
2024-02-17,Saturday,7.7,48.7,46.55,102.95
2024-02-18,Sunday,9.5,52.55,53.95,116
2024-02-19,Monday,14.95,54.13,50.15,119.23
2024-02-20,Tuesday,12.5,51.7,49.7,113.9
2024-02-21,Wednesday,16.4,43.7,41.45,101.55
2024-02-22,Thursday,14.75,51.05,49.85,115.65
2024-02-23,Friday,11.38,42.9,27.7,81.98
2024-02-24,Saturday,10.65,44.15,44.05,98.85
2024-02-25,Sunday,9.5,45.2,55.05,109.75
2024-02-26,Monday,13.15,47.75,49.8,110.7
2024-02-27,Tuesday,15.75,45.7,39.05,100.5
2024-02-28,Wednesday,16.2,37.5,42.95,96.65
